translation_, rotation_
225.420,52.484, 9.448
226.353,52.642, 9.872
227.280,52.807, 10.298
228.201,52.978, 10.726
229.119,53.156, 11.156
230.034,53.339, 11.585
230.947,53.530, 12.015
231.860,53.728, 12.445
232.774,53.934, 12.873
233.691,54.147, 13.300
234.610,54.367, 13.723
235.535,54.597, 14.144
236.466,54.835, 14.561
237.404,55.082, 14.973
238.349,55.339, 15.379
239.299,55.604, 15.778
240.254,55.877, 16.168
241.214,56.159, 16.547
242.178,56.449, 16.916
243.146,56.746, 17.273
244.118,57.052, 17.617
245.094,57.365, 17.948
246.073,57.685, 18.265
247.055,58.012, 18.569
248.040,58.345, 18.858
249.028,58.686, 19.134
250.019,59.032, 19.395
251.005,59.381, 19.640
251.982,59.732, 19.869
252.946,60.083, 20.082
253.897,60.432, 20.278
254.834,60.780, 20.461
255.758,61.126, 20.629
256.669,61.471, 20.785
257.566,61.813, 20.929
258.451,62.152, 21.061
259.323,62.489, 21.184
260.182,62.823, 21.297
261.028,63.154, 21.400
261.862,63.481, 21.496
262.683,63.805, 21.584
263.492,64.126, 21.665
264.288,64.443, 21.739
265.071,64.756, 21.807
265.842,65.065, 21.869
266.601,65.369, 21.927
267.347,65.670, 21.979
268.081,65.967, 22.027
268.803,66.259, 22.071
269.512,66.547, 22.112
270.209,66.831, 22.148
270.894,67.110, 22.182
271.567,67.384, 22.213
272.228,67.654, 22.241
272.876,67.920, 22.266
273.513,68.180, 22.289
274.137,68.436, 22.311
274.749,68.688, 22.330
275.349,68.934, 22.347
275.937,69.176, 22.363
276.513,69.413, 22.377
277.077,69.645, 22.390
277.628,69.872, 22.402
278.168,70.095, 22.412
278.695,70.313, 22.422
279.211,70.525, 22.430
279.714,70.733, 22.438
280.206,70.936, 22.445
280.685,71.134, 22.451
281.152,71.327, 22.456
281.608,71.516, 22.461
282.051,71.699, 22.465
282.482,71.877, 22.469
282.901,72.051, 22.473
283.309,72.219, 22.476
283.704,72.383, 22.478
284.087,72.541, 22.481
284.458,72.695, 22.483
284.817,72.843, 22.484
285.164,72.987, 22.486
285.500,73.126, 22.487
285.823,73.259, 22.488
286.134,73.388, 22.489
286.433,73.512, 22.490
286.720,73.631, 22.491
286.995,73.745, 22.492
287.258,73.854, 22.492
287.509,73.958, 22.493
287.748,74.057, 22.493
287.975,74.151, 22.493
288.190,74.240, 22.494
288.393,74.324, 22.494
288.584,74.403, 22.494
288.763,74.477, 22.494
288.930,74.546, 22.494
289.084,74.610, 22.494
289.227,74.669, 22.494
289.358,74.723, 22.494
289.477,74.773, 22.494
289.584,74.817, 22.494
289.679,74.856, 22.494
289.762,74.890, 22.495
289.833,74.920, 22.495
289.891,74.944, 22.495
289.938,74.964, 22.495
289.973,74.978, 22.495
289.996,74.987, 22.495
290.007,74.992, 22.495
290.005,74.991, 22.495
290.005,74.991, 22.495
